Page - https://en.wikipedia.org/wiki/1955_Formula_One_season

Rnd, Race, Circuit, Date, Pole position, Fastest lap, Winning driver, Constructor, Tyre, Report, 
1, Argentine Grand Prix, Buenos Aires, 16 January, José Froilán González, Juan Manuel Fangio, Juan Manuel Fangio, Mercedes, C, Report, 
2, Monaco Grand Prix, Monaco, 22 May, Juan Manuel Fangio, Juan Manuel Fangio, Maurice Trintignant, Ferrari, E, Report, 
3, Indianapolis 500A, Indianapolis, 30 May, Jerry Hoyt, Bill Vukovich, Bob Sweikert, Kurtis Kraft-Offenhauser, F, Report, 
4, Belgian Grand Prix, Spa-Francorchamps, 5 June, Eugenio Castellotti, Juan Manuel Fangio, Juan Manuel Fangio, Mercedes, C, Report, 
5, Dutch Grand Prix, Zandvoort, 19 June, Juan Manuel Fangio, Roberto Mieres, Juan Manuel Fangio, Mercedes, C, Report, 
6, British Grand Prix, Aintree, 16 July, Stirling Moss, Stirling Moss, Stirling Moss, Mercedes, C, Report, 
7, Italian Grand Prix, Monza, 11 September, Juan Manuel Fangio, Stirling Moss, Juan Manuel Fangio, Mercedes, C, Report, 

Entrant, Constructor, Chassis, Engine, Tyre, Driver, Rounds, 
Daimler Benz AG, Mercedes, W196, Mercedes M196 2.5 L8, C, Juan Manuel Fangio, 1–2, 4–7, 
Karl Kling, 1, 4–7, 
Stirling Moss, 1–2, 4–7, 
Hans Herrmann, 1–2, 
André Simon, 2, 
Piero Taruffi, 6–7, 
Scuderia Ferrari, FerrariLancia, 625555D50, Ferrari 555 2.5 L4Lancia DS50 2.5 V8, E, Giuseppe Farina, 1–2, 4, 7, 
Umberto Maglioli, 1, 7, 
José Froilán González, 1, 
Maurice Trintignant, 1–2, 4–7, 
Harry Schell, 2, 4, 
Piero Taruffi, 2, 4, 
Paul Frère, 2, 4, 
Mike Hawthorn, 5–7, 
Eugenio Castellotti, 5–7, 
Luigi Villoresi, 7, 
Officine Alfieri Maserati, Maserati, 250F, Maserati 250F1 2.5 L6, P, Jean Behra, 1–2, 4–7, 
Roberto Mieres, 1–2, 4–7, 
Sergio Mantovani, 1, 
Luigi Musso, 1–2, 4–7, 
Carlos Menditeguy, 1, 7, 
Clemar Bucci, 1, 
Harry Schell, 1, 
Cesare Perdisa, 2, 4, 
André Simon, 6, 
Peter Collins, 7, 
Horace Gould, 7, 
Alberto Uria, Maserati, A6GCM, Maserati 250F1 2.5 L6, P, Alberto Uria, 1, 
Scuderia Lancia, Lancia, D50, Lancia DS50 2.5 V8, P, Alberto Ascari, 1–2, 
Luigi Villoresi, 1–2, 
Eugenio Castellotti, 1–2, 4, 
Louis Chiron, 2, 
Equipe Gordini, Gordini, T16, Gordini 23 2.5 L6, E, Élie Bayol, 1–2, 
Pablo Birger, 1, 
Jesús Iglesias, 1, 
Robert Manzon, 2, 5–6, 
Jacques Pollet, 2, 5, 7, 
Hermano da Silva Ramos, 5–7, 
Mike Sparken, 6, 
Jean Lucas, 7, 
Ecurie Rosier, Maserati, 250F, Maserati 250F1 2.5 L6, P, Louis Rosier, 2, 4–5, 
Vandervell Products, Vanwall, VW 55, Vanwall 254 2.5 L4, P, Mike Hawthorn, 2, 4, 
Ken Wharton, 6–7, 
Harry Schell, 6–7, 
Stirling Moss Ltd, Maserati, 250F, Maserati 250F1 2.5 L6, D, Lance Macklin, 2, 6, 
Johnny Claes, 4, 
Peter Walker, 5, 
John Fitch, 7, 
E.N. Whiteaway, HWM-Alta, 53, Alta GP 2.5 L4, D, Ted Whiteaway, 2, 
Equipe Nationale Belge, Ferrari, 625, Ferrari 625 2.5 L4, E, Johnny Claes, 5, 
Gould's Garage (Bristol), Maserati, 250F, Maserati 250F1 2.5 L6, D, Horace Gould, 5–6, 
Connaught Engineering, Connaught-Alta, B, Alta GP 2.5 L4, D, Kenneth McAlpine, 6, 
Jack Fairman, 6, 
R.R.C. Walker Racing Team, Connaught-Alta, B, Alta GP 2.5 L4, D, Tony Rolt, 6, 
Peter Walker, 6, 
Leslie Marr, Connaught-Alta, B, Alta GP 2.5 L4, D, Leslie Marr, 6, 
Cooper Car Company, Cooper-Bristol, T40, Bristol BS1 2.0 L6, D, Jack Brabham, 6, 
Owen Racing Organisation, Maserati, 250F, Maserati 250F1 2.5 L6, D, Peter Collins, 6, 
Gilby Engineering, Maserati, 250F, Maserati 250F1 2.5 L6, D, Roy Salvadori, 6, 
Scuderia Volpini, Arzani-Volpini-Maserati, F1, Maserati 4CLT 2.5 L4, P, Luigi Piotti, 7, 

Pos., Driver, ARG, MON, 500, BEL, NED, GBR, ITA, Pts., 
1, Juan Manuel Fangio, 1, (Ret), , 1, 1, 2, 1, 40 (41), 
2, Stirling Moss, 4† / Ret, 9, , 2, 2, 1, Ret, 23, 
3, Eugenio Castellotti, Ret†, 2, , Ret, 5, 6† / Ret, 3, 12, 
4, Maurice Trintignant, 2† / 3† / Ret, 1, , 6, Ret, Ret, 8, 11 ​1⁄3, 
5, Nino Farina, 2† / 3†, 4, , 3, , , DNS, 10 ​1⁄3, 
6, Piero Taruffi, , 8†, , DNS, , 4, 2, 9, 
7, Bob Sweikert, , , 1, , , , , 8, 
8, Roberto Mieres, 5, Ret, , 5†, 4, Ret, 7, 7, 
9, Jean Behra, 6† / Ret† / Ret, 3† / Ret†, , 5† / Ret, 6, Ret, 4, 6, 
10, Luigi Musso, 7† / Ret†, Ret, , 7, 3, 5, Ret, 6, 
11, Karl Kling, 4† / Ret, , , Ret, Ret, 3, Ret, 5, 
12, Jimmy Davies, , , 3, , , , , 4, 
13, Tony Bettenhausen, , , 2†, , , , , 3, 
14, Paul Russo, , , 2†, , , , , 3, 
15, Paul Frère, , 8†, , 4, , , , 3, 
16, Johnny Thomson, , , 4, , , , , 3, 
17, José Froilán González, 2†, , , , , , , 2, 
18, Cesare Perdisa, , 3† / Ret†, , 8, , , , 2, 
19, Luigi Villoresi, Ret† / Ret, 5, , , , , DNS, 2, 
20, Carlos Menditeguy, Ret† / Ret, , , , , , 5, 2, 
21, Umberto Maglioli, 3†, , , , , , 6, 1 ​1⁄3, 
22, Hans Herrmann, 4†, DNQ, , , , , , 1, 
23, Walt Faulkner, , , 5†, , , , , 1, 
24, Bill Homeier, , , 5†, , , , , 1, 
25, Bill Vukovich, , , Ret, , , , , 1, 
—, Mike Hawthorn, , Ret, , Ret, 7, 6†, 10, 0, 
—, Harry Schell, 6† / 7† / Ret†, Ret, , DNS, , 9† / Ret, Ret, 0, 
—, Louis Chiron, , 6, , , , , , 0, 
—, Andy Linden, , , 6, , , , , 0, 
—, Jacques Pollet, , 7, , , 10, , Ret, 0, 
—, Al Herman, , , 7, , , , , 0, 
—, Mike Sparken, , , , , , 7, , 0, 
—, Sergio Mantovani, 7† / Ret†, , , , , , , 0, 
—, Hermano da Silva Ramos, , , , , 8, Ret, Ret, 0, 
—, Lance Macklin, , DNQ, , , , 8, , 0, 
—, Pat O'Connor, , , 8, , , , , 0, 
—, Louis Rosier, , Ret, , 9, 9, , , 0, 
—, Ken Wharton, , , , , , 9†, Ret, 0, 
—, Jimmy Daywalt, , , 9, , , , , 0, 
—, John Fitch, , , , , , , 9, 0, 
—, Pat Flaherty, , , 10, , , , , 0, 
—, Duane Carter, , , 11, , , , , 0, 
—, Johnny Claes, , , , DNS, 11, , , 0, 
—, Chuck Weyant, , , 12, , , , , 0, 
—, Eddie Johnson, , , 13, , , , , 0, 
—, Jim Rathmann, , , 14, , , , , 0, 
—, Robert Manzon, , Ret, , , Ret, Ret, , 0, 
—, Horace Gould, , , , , Ret, Ret, Ret, 0, 
—, Alberto Ascari, Ret, Ret, , , , , , 0, 
—, Élie Bayol, Ret, Ret, , , , , , 0, 
—, André Simon, , Ret, , , , Ret, , 0, 
—, Peter Collins, , , , , , Ret, Ret, 0, 
—, Peter Walker, , , , , Ret, Ret†, , 0, 
—, Jesus Iglesias, Ret, , , , , , , 0, 
—, Pablo Birger, Ret, , , , , , , 0, 
—, Alberto Uria, Ret, , , , , , , 0, 
—, Don Freeland, , , Ret, , , , , 0, 
—, Cal Niday, , , Ret, , , , , 0, 
—, Art Cross, , , Ret, , , , , 0, 
—, Shorty Templeman, , , Ret, , , , , 0, 
—, Sam Hanks, , , Ret, , , , , 0, 
—, Keith Andrews, , , Ret, , , , , 0, 
—, Johnnie Parsons, , , Ret, , , , , 0, 
—, Eddie Russo, , , Ret, , , , , 0, 
—, Ray Crawford, , , Ret, , , , , 0, 
—, Jimmy Bryan, , , Ret, , , , , 0, 
—, Jack McGrath, , , Ret, , , , , 0, 
—, Al Keller, , , Ret, , , , , 0, 
