VI Silver City Trophy, Brands Hatch, 3 June, Stirling Moss, Lotus-Climax, Report, 
Solitude Grand Prix, Solitudering, 23 July, Innes Ireland, Lotus-Climax, Report, 
VII Kanonloppet, Karlskoga, 20 August, Stirling Moss, Lotus-Climax, Report, 
II Danish Grand Prix, Roskilde Ring, 26–27 August, Stirling Moss, Lotus-Climax, Report, 
XV Modena Grand Prix, Modena, 3 September, Stirling Moss, Lotus-Climax, Report, 
III Flugplatzrennen, Zeltweg Airfield, 17 September, Innes Ireland, Lotus-Climax, Report, 
VIII Gold Cup, Oulton Park, 23 September, Stirling Moss, Ferguson-Climax, Report, 
V Lewis-Evans Trophy, Brands Hatch, 1 October, Tony Marsh, BRM-Climax, Report, 
I Coppa Italia, Vallelunga, 12 October, Giancarlo Baghetti, Porsche, Report, 
V Rand Grand Prix, Kyalami, 9 December, Jim Clark, Lotus-Climax, Report, 
I Natal Grand Prix, Westmead, 17 December, Jim Clark, Lotus-Climax, Report, 
VIII South African Grand Prix, East London, 26 December, Jim Clark, Lotus-Climax, Report, 
