Page - https://en.wikipedia.org/wiki/2003_Formula_One_World_Championship

Entrant, Constructor, Chassis, Engine†, Tyre, No., Driver, Rounds, No., Free Practice driver(s), 
Scuderia Ferrari Marlboro, Ferrari, F2002BF2003-GA, Ferrari 051BFerrari 052, B, 1, Michael Schumacher, All, N/A, 
2, Rubens Barrichello, All, 
BMW WilliamsF1 Team, Williams-BMW, FW25, BMW P83, M, 3, Juan Pablo Montoya, All, N/A, 
4, Ralf Schumacher, 1–13,15–16, 
Marc Gené, 14, 
West McLaren Mercedes, McLaren-Mercedes, MP4-17D, Mercedes FO110MMercedes FO110P, M, 5, David Coulthard, All, N/A, 
6, Kimi Räikkönen, All, 
Mild Seven Renault F1 Team, Renault, R23R23B, Renault RS23, M, 7, Jarno Trulli, All, 3444, Allan McNish Franck Montagny[5], 
8, Fernando Alonso, All, 
Sauber Petronas, Sauber-Petronas, C22, Petronas 03A, B, 9, Nick Heidfeld, All, N/A, 
10, Heinz-Harald Frentzen, All, 
Jordan Ford, Jordan-Ford, EJ13, Ford RS1, B, 11, Giancarlo Fisichella, All, 36, Zsolt Baumgartner Björn Wirdheim Satoshi Motoyama, 
12, Ralph Firman, 1–12,15–16, 
Zsolt Baumgartner, 13–14, 
Jaguar Racing, Jaguar-Cosworth, R4, Cosworth CR-5, M, 14, Mark Webber, All, N/A, 
15, Antônio Pizzonia, 1–11, 
Justin Wilson, 12–16, 
Lucky Strike BAR Honda, BAR-Honda, 005, Honda RA003E, B, 16, Jacques Villeneuve, 1–15, N/A, 
Takuma Sato, 16, 
17, Jenson Button, All, 
European Minardi F1 Team, Minardi-Cosworth, PS03, Cosworth CR-3, B, 18, Justin Wilson, 1–11, 39, Matteo Bobbi Gianmaria Bruni, 
Nicolas Kiesa, 12–16, 
19, Jos Verstappen, All, 
Panasonic Toyota Racing, Toyota, TF103, Toyota RVX-03, M, 20, Olivier Panis, All, N/A, 
21, Cristiano da Matta, All, 

Round, Race, Date, Location, 
1, Australian Grand Prix, 9 March, Melbourne Grand Prix Circuit, Melbourne, 
2, Malaysian Grand Prix, 23 March, Sepang International Circuit, Kuala Lumpur, 
3, Brazilian Grand Prix, 6 April, Autódromo José Carlos Pace, São Paulo, 
4, San Marino Grand Prix, 20 April, Autodromo Enzo e Dino Ferrari, Imola, 
5, Spanish Grand Prix, 4 May, Circuit de Catalunya, Barcelona, 
6, Austrian Grand Prix, 18 May, A1-Ring, Spielberg, 
7, Monaco Grand Prix, 1 June, Circuit de Monaco, Monte Carlo, 
8, Canadian Grand Prix, 15 June, Circuit Gilles Villeneuve, Montreal, 
9, European Grand Prix, 29 June, Nürburgring, Nürburg, 
10, French Grand Prix, 6 July, Circuit de Nevers Magny-Cours, Magny-Cours, 
11, British Grand Prix, 20 July, Silverstone Circuit, Silverstone, 
12, German Grand Prix, 3 August, Hockenheimring, Hockenheim, 
13, Hungarian Grand Prix, 24 August, Hungaroring, Budapest, 
14, Italian Grand Prix, 14 September, Autodromo Nazionale Monza, Monza, 
15, United States Grand Prix, 28 September, Indianapolis Motor Speedway, Indianapolis, 
16, Japanese Grand Prix, 12 October, Suzuka Circuit, Suzuka, 

Rd., Grand Prix, Pole Position, Fastest Lap, Winning Driver, Constructor, Report, 
1, Australian Grand Prix, Michael Schumacher, Kimi Räikkönen, David Coulthard, McLaren-Mercedes, Report, 
2, Malaysian Grand Prix, Fernando Alonso, Michael Schumacher, Kimi Räikkönen, McLaren-Mercedes, Report, 
3, Brazilian Grand Prix, Rubens Barrichello, Rubens Barrichello, Giancarlo Fisichella, Jordan-Ford, Report, 
4, San Marino Grand Prix, Michael Schumacher, Michael Schumacher, Michael Schumacher, Ferrari, Report, 
5, Spanish Grand Prix, Michael Schumacher, Rubens Barrichello, Michael Schumacher, Ferrari, Report, 
6, Austrian Grand Prix, Michael Schumacher, Michael Schumacher, Michael Schumacher, Ferrari, Report, 
7, Monaco Grand Prix, Ralf Schumacher, Kimi Räikkönen, Juan Pablo Montoya, Williams-BMW, Report, 
8, Canadian Grand Prix, Ralf Schumacher, Fernando Alonso, Michael Schumacher, Ferrari, Report, 
9, European Grand Prix, Kimi Räikkönen, Kimi Räikkönen, Ralf Schumacher, Williams-BMW, Report, 
10, French Grand Prix, Ralf Schumacher, Juan Pablo Montoya, Ralf Schumacher, Williams-BMW, Report, 
11, British Grand Prix, Rubens Barrichello, Rubens Barrichello, Rubens Barrichello, Ferrari, Report, 
12, German Grand Prix, Juan Pablo Montoya, Juan Pablo Montoya, Juan Pablo Montoya, Williams-BMW, Report, 
13, Hungarian Grand Prix, Fernando Alonso, Juan Pablo Montoya, Fernando Alonso, Renault, Report, 
14, Italian Grand Prix, Michael Schumacher, Michael Schumacher, Michael Schumacher, Ferrari, Report, 
15, United States Grand Prix, Kimi Räikkönen, Michael Schumacher, Michael Schumacher, Ferrari, Report, 
16, Japanese Grand Prix, Rubens Barrichello, Ralf Schumacher, Rubens Barrichello, Ferrari, Report, 

Pos, Driver, AUS, MAL, BRA, SMR, ESP, AUT, MON, CAN, EUR, FRA, GBR, GER, HUN, ITA, USA, JPN, Points, 
1, Michael Schumacher, 4, 6, Ret, 1, 1, 1, 3, 1, 5, 3, 4, 7, 8, 1, 1, 8, 93, 
2, Kimi Räikkönen, 3, 1, 2, 2, Ret, 2, 2, 6, Ret, 4, 3, Ret, 2, 4, 2, 2, 91, 
3, Juan Pablo Montoya, 2, 12, Ret, 7, 4, Ret, 1, 3, 2, 2, 2, 1, 3, 2, 6, Ret, 82, 
4, Rubens Barrichello, Ret, 2, Ret, 3, 3, 3, 8, 5, 3, 7, 1, Ret, Ret, 3, Ret, 1, 65, 
5, Ralf Schumacher, 8, 4, 7, 4, 5, 6, 4, 2, 1, 1, 9, Ret, 4, WD, Ret, 12, 58, 
6, Fernando Alonso, 7, 3, 3, 6, 2, Ret, 5, 4, 4, Ret, Ret, 4, 1, 8, Ret, Ret, 55, 
7, David Coulthard, 1, Ret, 4, 5, Ret, 5, 7, Ret, 15†, 5, 5, 2, 5, Ret, Ret, 3, 51, 
8, Jarno Trulli, 5, 5, 8, 13, Ret, 8, 6, Ret, Ret, Ret, 6, 3, 7, Ret, 4, 5, 33, 
9, Jenson Button, 10, 7, Ret, 8, 9, 4, DNS, Ret, 7, Ret, 8, 8, 10, Ret, Ret, 4, 17, 
10, Mark Webber, Ret, Ret, 9†, Ret, 7, 7, Ret, 7, 6, 6, 14, 11†, 6, 7, Ret, 11, 17, 
11, Heinz-Harald Frentzen, 6, 9, 5, 11, Ret, DNS, Ret, Ret, 9, 12, 12, Ret, Ret, 13†, 3, Ret, 13, 
12, Giancarlo Fisichella, 12†, Ret, 1, 15†, Ret, Ret, 10, Ret, 12, Ret, Ret, 13†, Ret, 10, 7, Ret, 12, 
13, Cristiano da Matta, Ret, 11, 10, 12, 6, 10, 9, 11†, Ret, 11, 7, 6, 11, Ret, 9, 7, 10, 
14, Nick Heidfeld, Ret, 8, Ret, 10, 10, Ret, 11, Ret, 8, 13, 17, 10, 9, 9, 5, 9, 6, 
15, Olivier Panis, Ret, Ret, Ret, 9, Ret, Ret, 13, 8, Ret, 8, 11, 5, Ret, Ret, Ret, 10, 6, 
16, Jacques Villeneuve, 9, DNS, 6, Ret, Ret, 12, Ret, Ret, Ret, 9, 10, 9, Ret, 6, Ret, , 6, 
17, Marc Gené, , , , , , , , , , , , , , 5, , , 4, 
18, Takuma Sato, , , , , , , , , , , , , , , , 6, 3, 
19, Ralph Firman, Ret, 10, Ret, Ret, 8, 11, 12, Ret, 11, 15, 13, Ret, DNS, , Ret, 14, 1, 
20, Justin Wilson, Ret, Ret, Ret, Ret, 11, 13, Ret, Ret, 13, 14, 16, Ret, Ret, Ret, 8, 13, 1, 
21, Antônio Pizzonia, 13†, Ret, Ret, 14, Ret, 9, Ret, 10†, 10, 10, Ret, , , , , , 0, 
22, Jos Verstappen, 11, 13, Ret, Ret, 12, Ret, Ret, 9, 14, 16, 15, Ret, 12, Ret, 10, 15, 0, 
23, Nicolas Kiesa, , , , , , , , , , , , 12, 13, 12, 11, 16, 0, 
24, Zsolt Baumgartner, , , , , , , , , , , , , Ret, 11, , , 0, 
Pos, Driver, AUS, MAL, BRA, SMR, ESP, AUT, MON, CAN, EUR, FRA, GBR, GER, HUN, ITA, USA, JPN, Points, 

Key, 
Colour, Result, 
Gold, Winner, 
Silver, 2nd place, 
Bronze, 3rd place, 
Green, Other points position, 
Blue, Other classified position, 
Not classified, finished (NC), 
Purple, Not classified, retired (Ret), 
Red, Did not qualify (DNQ), 
Did not pre-qualify (DNPQ), 
Black, Disqualified (DSQ), 
White, Did not start (DNS), 
Race cancelled (C), 
Blank, Did not practice (DNP), 
Excluded (EX), 
Did not arrive (DNA), 
Withdrawn (WD), 

Position, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 
Points, 10, 8, 6, 5, 4, 3, 2, 1, 

Pos, Constructor, Carno., AUS, MAL, BRA, SMR, ESP, AUT, MON, CAN, EUR, FRA, GBR, GER, HUN, ITA, USA, JPN, Points, 
1, Ferrari, 1, 4, 6, Ret, 1, 1, 1, 3, 1, 5, 3, 4, 7, 8, 1, 1, 8, 158, 
2, Ret, 2, Ret, 3, 3, 3, 8, 5, 3, 7, 1, Ret, Ret, 3, Ret, 1, 
2, Williams-BMW, 3, 2, 12, Ret, 7, 4, Ret, 1, 3, 2, 2, 2, 1, 3, 2, 6, Ret, 144, 
4, 8, 4, 7, 4, 5, 6, 4, 2, 1, 1, 9, Ret, 4, 5, Ret, 12, 
3, McLaren-Mercedes, 5, 1, Ret, 4, 5, Ret, 5, 7, Ret, 15, 5, 5, 2, 5, Ret, Ret, 3, 142, 
6, 3, 1, 2, 2, Ret, 2, 2, 6, Ret, 4, 3, Ret, 2, 4, 2, 2, 
4, Renault, 7, 5, 5, 8, 13, Ret, 8, 6, Ret, Ret, Ret, 6, 3, 7, Ret, 4, 5, 88, 
8, 7, 3, 3, 6, 2, Ret, 5, 4, 4, Ret, Ret, 4, 1, 8, Ret, Ret, 
5, BAR-Honda, 16, 9, DNS, 6, Ret, Ret, 12, Ret, Ret, Ret, 9, 10, 9, Ret, 6, Ret, 6, 26, 
