Page - https://en.wikipedia.org/wiki/2002_Formula_One_World_Championship

Entrant, Constructor, Chassis, Engine†, Tyre, No., Driver, Rounds, 
Scuderia Ferrari Marlboro, Ferrari, F2001F2002, Ferrari 050Ferrari 051, B, 1, Michael Schumacher, All, 
2, Rubens Barrichello, All, 
West McLaren Mercedes, McLaren-Mercedes, MP4-17, Mercedes FO110M, M, 3, David Coulthard, All, 
4, Kimi Räikkönen, All, 
BMW WilliamsF1 Team, Williams-BMW, FW24, BMW P82, M, 5, Ralf Schumacher, All, 
6, Juan Pablo Montoya, All, 
Sauber Petronas, Sauber-Petronas, C21, Petronas 02A, B, 7, Nick Heidfeld, All, 
8, Felipe Massa, 1–15, 17, 
Heinz-Harald Frentzen, 16, 
DHL Jordan Honda, Jordan-Honda, EJ12, Honda RA002E, B, 9, Giancarlo Fisichella, All, 
10, Takuma Sato, All, 
Lucky Strike BAR Honda, BAR-Honda, 004, Honda RA002E, B, 11, Jacques Villeneuve, All, 
12, Olivier Panis, All, 
Mild Seven Renault F1 Team, Renault, R202, Renault RS22, M, 14, Jarno Trulli, All, 
15, Jenson Button, All, 
Jaguar Racing F1 Team, Jaguar-Cosworth, R3R3B, Cosworth CR-3Cosworth CR-4, M, 16, Eddie Irvine, All, 
17, Pedro de la Rosa, All, 
Orange Arrows, Arrows-Cosworth, A23, Cosworth CR-3Cosworth CR-4, B, 20, Heinz-Harald Frentzen, 1–12, 
21, Enrique Bernoldi, 1–12, 
KL Minardi Asiatech, Minardi-Asiatech, PS02, Asiatech AT02, M, 22, Alex Yoong, 1–12, 15–17, 
Anthony Davidson, 13–14, 
23, Mark Webber, All, 
Panasonic Toyota Racing, Toyota, TF102, Toyota RVX-02, M, 24, Mika Salo, All, 
25, Allan McNish, All, 

Rnd, Race, Title, Date, Location, 
1, Foster's Australian Grand Prix, Australian Grand Prix, 3 March, Melbourne Grand Prix Circuit, Melbourne, 
2, Petronas Malaysian Grand Prix, Malaysian Grand Prix, 17 March, Sepang International Circuit, Kuala Lumpur, 
3, Grande Premio do Brasil, Brazilian Grand Prix, 31 March, Autódromo José Carlos Pace, São Paulo, 
4, Gran Premio di San Marino, San Marino Grand Prix, 14 April, Autodromo Enzo e Dino Ferrari, Imola, 
5, Gran Premio Marlboro de Espana, Spanish Grand Prix, 28 April, Circuit de Catalunya, Barcelona, 
6, Grosser A1 Preis von Osterreich, Austrian Grand Prix, 12 May, A1-Ring, Spielberg, 
7, Grand Prix de Monaco, Monaco Grand Prix, 26 May, Circuit de Monaco, Monte Carlo, 
8, Grand Prix Air Canada, Canadian Grand Prix, 9 June, Circuit Gilles Villeneuve, Montreal, 
9, Allianz Grand Prix of Europe, European Grand Prix, 23 June, Nürburgring, Nürburg, 
10, Foster's British Grand Prix, British Grand Prix, 7 July, Silverstone Circuit, Silverstone, 
11, Mobil 1 Grand Prix de France, French Grand Prix, 21 July, Circuit de Nevers Magny-Cours, Magny-Cours, 
12, Grosser Mobil 1 Preis von Deutschland, German Grand Prix, 28 July, Hockenheimring, Hockenheim, 
13, Marlboro Magyar Nagydij, Hungarian Grand Prix, 18 August, Hungaroring, Budapest, 
14, Foster's Belgian Grand Prix, Belgian Grand Prix, 1 September, Circuit de Spa-Francorchamps, Stavelot, 
15, Gran Premio Vodafone d'Italia, Italian Grand Prix, 15 September, Autodromo Nazionale Monza, Monza, 
16, SAP United States Grand Prix, United States Grand Prix, 29 September, Indianapolis Motor Speedway, Indianapolis, 
17, Fuji Television Japanese Grand Prix, Japanese Grand Prix, 13 October, Suzuka Circuit, Suzuka, 

Rd., Grand Prix, Pole Position, Fastest Lap, Winning Driver, Constructor, Report, 
1, Australian Grand Prix, Rubens Barrichello, Kimi Räikkönen, Michael Schumacher, Ferrari, Report, 
2, Malaysian Grand Prix, Michael Schumacher, Juan Pablo Montoya, Ralf Schumacher, Williams-BMW, Report, 
3, Brazilian Grand Prix, Juan Pablo Montoya, Juan Pablo Montoya, Michael Schumacher, Ferrari, Report, 
4, San Marino Grand Prix, Michael Schumacher, Rubens Barrichello, Michael Schumacher, Ferrari, Report, 
5, Spanish Grand Prix, Michael Schumacher, Michael Schumacher, Michael Schumacher, Ferrari, Report, 
6, Austrian Grand Prix, Rubens Barrichello, Michael Schumacher, Michael Schumacher, Ferrari, Report, 
7, Monaco Grand Prix, Juan Pablo Montoya, Rubens Barrichello, David Coulthard, McLaren-Mercedes, Report, 
8, Canadian Grand Prix, Juan Pablo Montoya, Juan Pablo Montoya, Michael Schumacher, Ferrari, Report, 
9, European Grand Prix, Juan Pablo Montoya, Michael Schumacher, Rubens Barrichello, Ferrari, Report, 
10, British Grand Prix, Juan Pablo Montoya, Rubens Barrichello, Michael Schumacher, Ferrari, Report, 
11, French Grand Prix, Juan Pablo Montoya, David Coulthard, Michael Schumacher, Ferrari, Report, 
12, German Grand Prix, Michael Schumacher, Michael Schumacher, Michael Schumacher, Ferrari, Report, 
13, Hungarian Grand Prix, Rubens Barrichello, Michael Schumacher, Rubens Barrichello, Ferrari, Report, 
14, Belgian Grand Prix, Michael Schumacher, Michael Schumacher, Michael Schumacher, Ferrari, Report, 
15, Italian Grand Prix, Juan Pablo Montoya, Rubens Barrichello, Rubens Barrichello, Ferrari, Report, 
16, United States Grand Prix, Michael Schumacher, Rubens Barrichello, Rubens Barrichello, Ferrari, Report, 
17, Japanese Grand Prix, Michael Schumacher, Michael Schumacher, Michael Schumacher, Ferrari, Report, 

Pos[1], Driver[1], AUS, MAL, BRA, SMR, ESP, AUT, MON, CAN, EUR, GBR, FRA, GER, HUN, BEL, ITA, USA, JPN, Points[1], 
1, Michael Schumacher, 1, 3, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 2, 2, 1, 144, 
2, Rubens Barrichello, Ret, Ret, Ret, 2, DNS, 2, 7, 3, 1, 2, DNS, 4, 1, 2, 1, 1, 2, 77, 
3, Juan Pablo Montoya, 2, 2, 5, 4, 2, 3, Ret, Ret, Ret, 3, 4, 2, 11, 3, Ret, 4, 4, 50, 
4, Ralf Schumacher, Ret, 1, 2, 3, 11†, 4, 3, 7, 4, 8, 5, 3, 3, 5, Ret, 16, 11†, 42, 
5, David Coulthard, Ret, Ret, 3, 6, 3, 6, 1, 2, Ret, 10, 3, 5, 5, 4, 7, 3, Ret, 41, 
6, Kimi Räikkönen, 3, Ret, 12†, Ret, Ret, Ret, Ret, 4, 3, Ret, 2, Ret, 4, Ret, Ret, Ret, 3, 24, 
7, Jenson Button, Ret, 4, 4, 5, 12†, 7, Ret, 15†, 5, 12†, 6, Ret, Ret, Ret, 5, 8, 6, 14, 
8, Jarno Trulli, Ret, Ret, Ret, 9, 10†, Ret, 4, 6, 8, Ret, Ret, Ret, 8, Ret, 4, 5, Ret, 9, 
9, Eddie Irvine, 4, Ret, 7, Ret, Ret, Ret, 9, Ret, Ret, Ret, Ret, Ret, Ret, 6, 3, 10, 9, 8, 
10, Nick Heidfeld, Ret, 5, Ret, 10, 4, Ret, 8, 12, 7, 6, 7, 6, 9, 10, 10, 9, 7, 7, 
11, Giancarlo Fisichella, Ret, 13, Ret, Ret, Ret, 5, 5, 5, Ret, 7, DNQ, Ret, 6, Ret, 8, 7, Ret, 7, 
12, Jacques Villeneuve, Ret, 8, 10†, 7, 7, 10†, Ret, Ret, 12, 4, Ret, Ret, Ret, 8, 9, 6, Ret, 4, 
13, Felipe Massa, Ret, 6, Ret, 8, 5, Ret, Ret, 9, 6, 9, Ret, 7, 7, Ret, Ret, , Ret, 4, 
14, Olivier Panis, Ret, Ret, Ret, Ret, Ret, Ret, Ret, 8, 9, 5, Ret, Ret, 12, 12†, 6, 12, Ret, 3, 
15, Takuma Sato, Ret, 9, 9, Ret, Ret, Ret, Ret, 10, 16, Ret, Ret, 8, 10, 11, 12, 11, 5, 2, 
16, Mark Webber, 5, Ret, 11, 11, DNS, 12, 11, 11, 15, Ret, 8, Ret, 16, Ret, Ret, Ret, 10, 2, 
17, Mika Salo, 6, 12, 6, Ret, 9, 8, Ret, Ret, Ret, Ret, Ret, 9, 15, 7, 11, 14, 8, 2, 
18, Heinz-Harald Frentzen, DSQ, 11, Ret, Ret, 6, 11, 6, 13, 13, Ret, DNQ, Ret, , , , 13, , 2, 
19, Allan McNish, Ret, 7, Ret, Ret, 8, 9, Ret, Ret, 14, Ret, 11†, Ret, 14, 9, Ret, 15, DNS, 0, 
20, Alex Yoong, 7, Ret, 13, DNQ, DNS, Ret, Ret, 14, Ret, DNQ, 10, DNQ, , , 13, Ret, Ret, 0, 
21, Pedro de la Rosa, 8, 10, 8, Ret, Ret, Ret, 10, Ret, 11, 11, 9, Ret, 13, Ret, Ret, Ret, Ret, 0, 
22, Enrique Bernoldi, DSQ, Ret, Ret, Ret, Ret, Ret, 12, Ret, 10, Ret, DNQ, Ret, , , , , , 0, 
—, Anthony Davidson, , , , , , , , , , , , , Ret, Ret, , , , 0, 
Pos, Driver, AUS, MAL, BRA, SMR, ESP, AUT, MON, CAN, EUR, GBR, FRA, GER, HUN, BEL, ITA, USA, JPN, Points, 

Key, 
Colour, Result, 
Gold, Winner, 
Silver, 2nd place, 
Bronze, 3rd place, 
Green, Other points position, 
Blue, Other classified position, 
Not classified, finished (NC), 
Purple, Not classified, retired (Ret), 
Red, Did not qualify (DNQ), 
Did not pre-qualify (DNPQ), 
Black, Disqualified (DSQ), 
White, Did not start (DNS), 
Race cancelled (C), 
Blank, Did not practice (DNP), 
Excluded (EX), 
Did not arrive (DNA), 
Withdrawn (WD), 

Pos[1], Constructor[1], Carno., AUS, MAL, BRA, SMR, ESP, AUT, MON, CAN, EUR, GBR, FRA, GER, HUN, BEL, ITA, USA, JPN, Points[1], 
1, Ferrari, 1, 1, 3, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 2, 2, 1, 221, 
2, Ret, Ret, Ret, 2, DNS, 2, 7, 3, 1, 2, DNS, 4, 1, 2, 1, 1, 2, 
2, Williams-BMW, 5, Ret, 1, 2, 3, 11, 4, 3, 7, 4, 8, 5, 3, 3, 5, Ret, 16, 11, 92, 
6, 2, 2, 5, 4, 2, 3, Ret, Ret, Ret, 3, 4, 2, 11, 3, Ret, 4, 4, 
3, McLaren-Mercedes, 3, Ret, Ret, 3, 6, 3, 6, 1, 2, Ret, 10, 3, 5, 5, 4, 7, 3, Ret, 65, 
4, 3, Ret, 12, Ret, Ret, Ret, Ret, 4, 3, Ret, 2, Ret, 4, Ret, Ret, Ret, 3, 
4, Renault, 14, Ret, Ret, Ret, 9, 10, Ret, 4, 6, 8, Ret, Ret, Ret, 8, Ret, 4, 5, Ret, 23, 
15, Ret, 4, 4, 5, 12, 7, Ret, 15, 5, 12, 6, Ret, Ret, Ret, 5, 8, 6, 
5, Sauber-Petronas, 7, Ret, 5, Ret, 10, 4, Ret, 8, 12, 7, 6, 7, 6, 9, 10, 10, 9, 7, 11, 
8, Ret, 6, Ret, 8, 5, Ret, Ret, 9, 6, 9, Ret, 7, 7, Ret, Ret, 13, Ret, 
6, Jordan-Honda, 9, Ret, 13, Ret, Ret, Ret, 5, 5, 5, Ret, 7, DNQ, Ret, 6, Ret, 8, 7, Ret, 9, 
