Page - https://en.wikipedia.org/wiki/1999_Formula_One_World_Championship

Entrant, Constructor, Chassis, Engine†, Tyre, No., Driver, Rounds, 
West McLaren Mercedes, McLaren-Mercedes, MP4/14, Mercedes FO110H, B, 1, Mika Häkkinen, All, 
2, David Coulthard, All, 
Scuderia Ferrari Marlboro, Ferrari, F399, Ferrari 048, B, 3, Michael Schumacher, 1–8, 15–16, 
Mika Salo, 9–14, 
4, Eddie Irvine, All, 
Winfield Williams, Williams-Supertec, FW21, Supertec FB01, B, 5, Alessandro Zanardi, All, 
6, Ralf Schumacher, All, 
Benson and Hedges Jordan, Jordan-Mugen-Honda, 199, Mugen-Honda MF-301 HD, B, 7, Damon Hill, All, 
8, Heinz-Harald Frentzen, All, 
Mild Seven Benetton Playlife, Benetton-Playlife, B199, Playlife FB01, B, 9, Giancarlo Fisichella, All, 
10, Alexander Wurz, All, 
Red Bull Sauber Petronas, Sauber-Petronas, C18, Petronas SPE-03A, B, 11, Jean Alesi, All, 
12, Pedro Diniz, All, 
Repsol Arrows F1 Team, Arrows, A20, Arrows T2-F1, B, 14, Pedro de la Rosa, All, 
15, Toranosuke Takagi, All, 
HSBC Stewart Ford, Stewart-Ford, SF3, Ford CR-1, B, 16, Rubens Barrichello, All, 
17, Johnny Herbert, All, 
Gauloises Prost Peugeot, Prost-Peugeot, AP02, Peugeot A18, B, 18, Olivier Panis, All, 
19, Jarno Trulli, All, 
Fondmetal Minardi Team, Minardi-Ford, M01, Ford VJM1 Zetec-RFord VJM2 Zetec-R, B, 20, Luca Badoer, 1, 3–16, 
Stéphane Sarrazin, 2, 
21, Marc Gené, All, 
British American Racing, BAR-Supertec, 01, Supertec FB01, B, 22, Jacques Villeneuve, All, 
23, Ricardo Zonta, 1–2, 6–16, 
Mika Salo, 3–5, 

Round, Race Title, Grand Prix, Circuit, Date, 
1, Qantas Australian Grand Prix, Australian Grand Prix, Albert Park Grand Prix Circuit, Melbourne, 7 March, 
2, Grande Prêmio Marlboro do Brasil, Brazilian Grand Prix, Autódromo José Carlos Pace, São Paulo, 11 April, 
3, Gran Premio Warsteiner di San Marino, San Marino Grand Prix, Autodromo Enzo e Dino Ferrari, Imola, 2 May, 
4, Grand Prix de Monaco, Monaco Grand Prix, Circuit de Monaco, Monte-Carlo, 16 May, 
5, Gran Premio Marlboro de España, Spanish Grand Prix, Circuit de Catalunya, Barcelona, 30 May, 
6, Grand Prix Air Canada, Canadian Grand Prix, Circuit Gilles Villeneuve, Montreal, 13 June, 
7, Mobil 1 Grand Prix de France, French Grand Prix, Circuit de Nevers Magny-Cours, Magny-Cours, 27 June, 
8, RAC British Grand Prix, British Grand Prix, Silverstone Circuit, Silverstone, 11 July, 
9, Großer Preis von Österreich, Austrian Grand Prix, A1-Ring, Spielberg, 25 July, 
10, Großer Mobil 1 Preis von Deutschland, German Grand Prix, Hockenheimring, Hockenheim, 1 August, 
11, Marlboro Magyar Nagydíj, Hungarian Grand Prix, Hungaroring, Budapest, 15 August, 
12, Foster's Belgian Grand Prix, Belgian Grand Prix, Circuit de Spa-Francorchamps, Stavelot, 29 August, 
13, Gran Premio Campari d'Italia, Italian Grand Prix, Autodromo Nazionale Monza, Monza, 12 September, 
14, Warsteiner Grand Prix of Europe, European Grand Prix, Nürburgring, Nürburg, 26 September, 
15, Petronas Malaysian Grand Prix, Malaysian Grand Prix, Sepang International Circuit, Kuala Lumpur, 17 October, 
16, Fuji Television Japanese Grand Prix, Japanese Grand Prix, Suzuka Circuit, Suzuka, 31 October, 

Round, Grand Prix, Pole Position, Fastest Lap, Winning Driver, Constructor, Report, 
1, Australian Grand Prix, Mika Häkkinen, Michael Schumacher, Eddie Irvine, Ferrari, Report, 
2, Brazilian Grand Prix, Mika Häkkinen, Mika Häkkinen, Mika Häkkinen, McLaren-Mercedes, Report, 
3, San Marino Grand Prix, Mika Häkkinen, Michael Schumacher, Michael Schumacher, Ferrari, Report, 
4, Monaco Grand Prix, Mika Häkkinen, Mika Häkkinen, Michael Schumacher, Ferrari, Report, 
5, Spanish Grand Prix, Mika Häkkinen, Michael Schumacher, Mika Häkkinen, McLaren-Mercedes, Report, 
6, Canadian Grand Prix, Michael Schumacher, Eddie Irvine, Mika Häkkinen, McLaren-Mercedes, Report, 
7, French Grand Prix, Rubens Barrichello, David Coulthard, Heinz-Harald Frentzen, Jordan-Mugen-Honda, Report, 
8, British Grand Prix, Mika Häkkinen, Mika Häkkinen, David Coulthard, McLaren-Mercedes, Report, 
9, Austrian Grand Prix, Mika Häkkinen, Mika Häkkinen, Eddie Irvine, Ferrari, Report, 
10, German Grand Prix, Mika Häkkinen, David Coulthard, Eddie Irvine, Ferrari, Report, 
11, Hungarian Grand Prix, Mika Häkkinen, David Coulthard, Mika Häkkinen, McLaren-Mercedes, Report, 
12, Belgian Grand Prix, Mika Häkkinen, Mika Häkkinen, David Coulthard, McLaren-Mercedes, Report, 
13, Italian Grand Prix, Mika Häkkinen, Ralf Schumacher, Heinz-Harald Frentzen, Jordan-Mugen-Honda, Report, 
14, European Grand Prix, Heinz-Harald Frentzen, Mika Häkkinen, Johnny Herbert, Stewart-Ford, Report, 
15, Malaysian Grand Prix, Michael Schumacher, Michael Schumacher, Eddie Irvine, Ferrari, Report, 
16, Japanese Grand Prix, Michael Schumacher, Michael Schumacher, Mika Häkkinen, McLaren-Mercedes, Report, 

Pos[3], Driver[3], AUS, BRA, SMR, MON, ESP, CAN, FRA, GBR, AUT, GER, HUN, BEL, ITA, EUR, MAL, JPN, Points[3], 
1, Mika Häkkinen, Ret, 1, Ret, 3, 1, 1, 2, Ret, 3, Ret, 1, 2, Ret, 5, 3, 1, 76, 
2, Eddie Irvine, 1, 5, Ret, 2, 4, 3, 6, 2, 1, 1, 3, 4, 6, 7, 1, 3, 74, 
3, Heinz-Harald Frentzen, 2, 3†, Ret, 4, Ret, 11†, 1, 4, 4, 3, 4, 3, 1, Ret, 6, 4, 54, 
4, David Coulthard, Ret, Ret, 2, Ret, 2, 7, Ret, 1, 2, 5, 2, 1, 5, Ret, Ret, Ret, 48, 
5, Michael Schumacher, 8, 2, 1, 1, 3, Ret, 5, DNS, , , , , , , 2, 2, 44, 
6, Ralf Schumacher, 3, 4, Ret, Ret, 5, 4, 4, 3, Ret, 4, 9, 5, 2, 4, Ret, 5, 35, 
7, Rubens Barrichello, 5, Ret, 3, 9†, DSQ, Ret, 3, 8, Ret, Ret, 5, 10, 4, 3, 5, 8, 21, 
8, Johnny Herbert, DNS, Ret, 10†, Ret, Ret, 5, Ret, 12, 14, 11†, 11, Ret, Ret, 1, 4, 7, 15, 
9, Giancarlo Fisichella, 4, Ret, 5, 5, 9, 2, Ret, 7, 12†, Ret, Ret, 11, Ret, Ret, 11, 14†, 13, 
10, Mika Salo, , , 7†, Ret, 8, , , , 9, 2, 12, 7, 3, Ret, , , 10, 
11, Jarno Trulli, Ret, Ret, Ret, 7, 6, Ret, 7, 9, 7, Ret, 8, 12, Ret, 2, DNS, Ret, 7, 
12, Damon Hill, Ret, Ret, 4, Ret, 7, Ret, Ret, 5, 8, Ret, 6, 6, 10, Ret, Ret, Ret, 7, 
13, Alexander Wurz, Ret, 7, Ret, 6, 10, Ret, Ret, 10, 5, 7, 7, 14, Ret, Ret, 8, 10, 3, 
14, Pedro Diniz, Ret, Ret, Ret, Ret, Ret, 6, Ret, 6, 6, Ret, Ret, Ret, Ret, Ret, Ret, 11, 3, 
15, Jean Alesi, Ret, Ret, 6, Ret, Ret, Ret, Ret, 14†, Ret, 8, 16†, 9, 9, Ret, 7, 6, 2, 
16, Olivier Panis, Ret, 6, Ret, Ret, Ret, 9, 8, 13, 10, 6, 10, 13, 11†, 9, Ret, Ret, 2, 
17, Marc Gené, Ret, 9, 9, Ret, Ret, 8, Ret, 15, 11, 9, 17, 16, Ret, 6, 9, Ret, 1, 
18, Pedro de la Rosa, 6, Ret, Ret, Ret, 11, Ret, 11, Ret, Ret, Ret, 15, Ret, Ret, Ret, Ret, 13, 1, 
19, Alessandro Zanardi, Ret, Ret, 11†, 8, Ret, Ret, Ret, 11, Ret, Ret, Ret, 8, 7, Ret, 10, Ret, 0, 
20, Toranosuke Takagi, 7, 8, Ret, Ret, 12, Ret, DSQ, 16, Ret, Ret, Ret, Ret, Ret, Ret, Ret, Ret, 0, 
21, Jacques Villeneuve, Ret, Ret, Ret, Ret, Ret, Ret, Ret, Ret, Ret, Ret, Ret, 15, 8, 10†, Ret, 9, 0, 
22, Ricardo Zonta, Ret, DNQ, , , , Ret, 9, Ret, 15†, Ret, 13, Ret, Ret, 8, Ret, 12, 0, 
23, Luca Badoer, Ret, , 8, Ret, Ret, 10, 10, Ret, 13, 10, 14, Ret, Ret, Ret, Ret, Ret, 0, 
24, Stéphane Sarrazin, , Ret, , , , , , , , , , , , , , , 0, 
Pos, Driver, AUS, BRA, SMR, MON, ESP, CAN, FRA, GBR, AUT, GER, HUN, BEL, ITA, EUR, MAL, JPN, Points, 

Key, 
Colour, Result, 
Gold, Winner, 
Silver, 2nd place, 
Bronze, 3rd place, 
Green, Other points position, 
Blue, Other classified position, 
Not classified, finished (NC), 
Purple, Not classified, retired (Ret), 
Red, Did not qualify (DNQ), 
Did not pre-qualify (DNPQ), 
Black, Disqualified (DSQ), 
White, Did not start (DNS), 
Race cancelled (C), 
Blank, Did not practice (DNP), 
Excluded (EX), 
Did not arrive (DNA), 
Withdrawn (WD), 

Pos[3], Constructor[3], Carno., AUS, BRA, SMR, MON, ESP, CAN, FRA, GBR, AUT, GER, HUN, BEL, ITA, EUR, MAL, JPN, Points[3], 
1, Ferrari, 3, 8, 2, 1, 1, 3, Ret, 5, DNS, 9, 2, 12, 7, 3, Ret, 2, 2, 128, 
4, 1, 5, Ret, 2, 4, 3, 6, 2, 1, 1, 3, 4, 6, 7, 1, 3, 
2, McLaren-Mercedes, 1, Ret, 1, Ret, 3, 1, 1, 2, Ret, 3, Ret, 1, 2, Ret, 5, 3, 1, 124, 
2, Ret, Ret, 2, Ret, 2, 7, Ret, 1, 2, 5, 2, 1, 5, Ret, Ret, Ret, 
3, Jordan-Mugen-Honda, 7, Ret, Ret, 4, Ret, 7, Ret, Ret, 5, 8, Ret, 6, 6, 10, Ret, Ret, Ret, 61, 
8, 2, 3, Ret, 4, Ret, 11, 1, 4, 4, 3, 4, 3, 1, Ret, 6, 4, 
4, Stewart-Ford, 16, 5, Ret, 3, 9, DSQ, Ret, 3, 8, Ret, Ret, 5, 10, 4, 3, 5, 8, 36, 
17, DNS, Ret, 10, Ret, Ret, 5, Ret, 12, 14, 11, 11, Ret, Ret, 1, 4, 7, 
5, Williams-Supertec, 5, Ret, Ret, 11, 8, Ret, Ret, Ret, 11, Ret, Ret, Ret, 8, 7, Ret, 10, Ret, 35, 
6, 3, 4, Ret, Ret, 5, 4, 4, 3, Ret, 4, 9, 5, 2, 4, Ret, 5, 
6, Benetton-Playlife, 9, 4, Ret, 5, 5, 9, 2, Ret, 7, 12, Ret, Ret, 11, Ret, Ret, 11, 14, 16, 
